num_threads;size_of_thread;prepr_time;search_time;total_time;love_count;hate_count;most_used
1;17872;18275;9388;27663;258531;29211;1
2;8936;24086;717;24803;258531;29211;1
3;5957;19360;713;20073;258531;29211;1
4;4468;14292;399;14691;258531;29211;1
5;3574;13175;338;13513;258531;29211;1
6;2978;13518;320;13838;258531;29211;1
7;2553;14132;380;14512;258531;29211;1
8;2234;12311;250;12561;258531;29211;1
9;1985;11600;305;11905;258531;29211;1
10;1787;11956;314;12270;258531;29211;1
11;1624;13419;261;13680;258531;29211;1
12;1489;11819;259;12078;258531;29211;1
13;1374;12135;298;12433;258531;29211;1
14;1276;12664;287;12951;258531;29211;1
15;1191;13616;266;13882;258531;29211;1
16;1117;12555;271;12826;258531;29211;1
17;1051;13510;278;13788;258531;29211;1
18;992;13296;254;13550;258531;29211;1
19;940;12094;255;12349;258531;29211;1
20;893;12955;296;13251;258531;29211;1
21;851;15141;437;15578;258531;29211;1
22;812;11835;441;12276;258531;29211;1
23;777;11753;262;12015;258531;29211;1
24;744;11878;255;12133;258531;29211;1
25;714;12192;276;12468;258531;29211;1
26;687;12762;306;13068;258531;29211;1
27;661;12937;253;13190;258531;29211;1
28;638;12299;257;12556;258531;29211;1
29;616;12187;253;12440;258531;29211;1
30;595;11420;242;11662;258531;29211;1
31;576;11750;256;12006;258531;29211;1
32;558;11754;247;12001;258531;29211;1
33;541;12127;245;12372;258531;29211;1
34;525;11718;248;11966;258531;29211;1
35;510;13865;309;14174;258531;29211;1
36;496;12631;268;12899;258531;29211;1
37;483;12085;288;12373;258531;29211;1
38;470;12358;240;12598;258531;29211;1
39;458;12156;289;12445;258531;29211;1
40;446;12606;251;12857;258531;29211;1
41;435;12151;271;12422;258531;29211;1
42;425;12013;265;12278;258531;29211;1
43;415;12115;272;12387;258531;29211;1
44;406;11759;281;12040;258531;29211;1
45;397;11319;249;11568;258531;29211;1
46;388;11990;261;12251;258531;29211;1
47;380;11602;256;11858;258531;29211;1
48;372;11449;257;11706;258531;29211;1
49;364;12829;327;13156;258531;29211;1
50;357;11260;249;11509;258531;29211;1
51;350;12009;243;12252;258531;29211;1
52;343;11575;282;11857;258531;29211;1
53;337;11976;255;12231;258531;29211;1
54;330;11505;246;11751;258531;29211;1
55;324;11595;277;11872;258531;29211;1
56;319;11441;265;11706;258531;29211;1
57;313;11407;258;11665;258531;29211;1
58;308;11674;250;11924;258531;29211;1
59;302;11807;254;12061;258531;29211;1
60;297;12900;334;13234;258531;29211;1
61;292;12613;268;12881;258531;29211;1
62;288;11424;248;11672;258531;29211;1
63;283;11846;250;12096;258531;29211;1
64;279;13863;270;14133;258531;29211;1
65;274;11837;253;12090;258531;29211;1
66;270;12004;246;12250;258531;29211;1
67;266;11955;262;12217;258531;29211;1
68;262;11778;254;12032;258531;29211;1
69;259;12033;261;12294;258531;29211;1
70;255;11613;265;11878;258531;29211;1
71;251;11533;252;11785;258531;29211;1
72;248;11840;274;12114;258531;29211;1
73;244;12252;243;12495;258531;29211;1
74;241;12289;266;12555;258531;29211;1
75;238;11803;245;12048;258531;29211;1
76;235;11696;251;11947;258531;29211;1
77;232;11473;256;11729;258531;29211;1
78;229;11922;386;12308;258531;29211;1
79;226;14856;329;15185;258531;29211;1
80;223;14784;358;15142;258531;29211;1
81;220;13696;249;13945;258531;29211;1
82;217;12292;288;12580;258531;29211;1
83;215;12311;263;12574;258531;29211;1
84;212;12358;275;12633;258531;29211;1
85;210;12071;266;12337;258531;29211;1
86;207;11909;263;12172;258531;29211;1
87;205;12440;258;12698;258531;29211;1
88;203;13061;259;13320;258531;29211;1
89;200;12071;273;12344;258531;29211;1
90;198;11413;252;11665;258531;29211;1
91;196;11692;263;11955;258531;29211;1
92;194;14022;360;14382;258531;29211;1
93;192;10947;256;11203;258531;29211;1
94;190;12512;364;12876;258531;29211;1
95;188;13541;471;14012;258531;29211;1
96;186;16470;407;16877;258531;29211;1
97;184;12350;267;12617;258531;29211;1
98;182;13040;275;13315;258531;29211;1
99;180;12019;282;12301;258531;29211;1
100;178;13253;255;13508;258531;29211;1
